subject,trial,movement,data_leg,variable,net,positive,negative
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,hip_adduction_moment,-52.21932353,6.619160726,-58.83848426
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,hip_rotation_moment,6.594223809,10.6659649,-4.071741088
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,lumbar_extension_moment,52.89551015,53.39974425,-0.504234094
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,lumbar_bending_moment,11.03397079,15.38963951,-4.355668716
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,lumbar_rotation_moment,1.085428849,9.176050993,-8.090622144
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,knee_angle_moment,-25.37980991,10.07372233,-35.45353224
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,arm_flex_moment,3.417414624,3.418823151,-0.001408527
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,arm_add_moment,12.27292799,12.27292799,0
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,arm_rot_moment,-0.830148149,0.202883229,-1.033031379
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,ankle_angle_moment,-57.68878676,0.840964028,-58.52975079
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,elbow_flex_moment,5.284178297,5.284178297,0
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,subtalar_angle_moment,17.9564081,18.1337811,-0.177372994
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,pro_sup_moment,-0.012658147,0.010051607,-0.022709754
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,mtp_angle_moment,-0.091241343,0,-0.091241343
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,wrist_flex_moment,0.387008861,0.387008861,0
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,wrist_dev_moment,-0.390831122,0.004027927,-0.394859049
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,hip_flexion_moment,-18.93537073,17.43025483,-36.36562556
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,hip_adduction_moment,-55.95242984,1.480202154,-57.432632
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,hip_rotation_moment,-0.27280583,4.511274844,-4.784080674
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,lumbar_extension_moment,52.89551015,53.39974425,-0.504234094
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,lumbar_bending_moment,11.03397079,15.38963951,-4.355668716
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,lumbar_rotation_moment,1.085428849,9.176050993,-8.090622144
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,knee_angle_moment,14.31602151,24.89066197,-10.57464046
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,arm_flex_moment,5.123932654,5.247039267,-0.123106613
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,arm_add_moment,9.356934328,9.356934328,0
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,arm_rot_moment,-1.604576792,0.048063115,-1.652639907
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,ankle_angle_moment,-39.94502361,1.411963006,-41.35698662
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,elbow_flex_moment,5.682179531,5.682179531,0
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,subtalar_angle_moment,9.473963166,9.987898293,-0.513935127
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,pro_sup_moment,-0.020383714,0.008251174,-0.028634888
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,mtp_angle_moment,-0.092494239,0,-0.092494239
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,wrist_flex_moment,0.425681234,0.425681234,0
FAILTCRT01,FAILTCRT01_SDP06,sdp,pivot,wrist_dev_moment,-0.44113103,0,-0.44113103
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,hip_flexion_moment,-10.65626383,17.52386166,-28.1801255
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,hip_adduction_moment,-52.15152442,7.140446055,-59.29197047
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,hip_rotation_moment,5.236927569,10.4929039,-5.255976334
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,lumbar_extension_moment,50.36491788,51.30771177,-0.942793885
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,lumbar_bending_moment,14.85579529,16.14938716,-1.293591875
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,lumbar_rotation_moment,1.248336427,10.15890779,-8.910571367
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,knee_angle_moment,-35.09679427,10.6434671,-45.74026137
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,arm_flex_moment,3.4703363,3.47069016,-0.00035386
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,arm_add_moment,12.28780866,12.28780866,0
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,arm_rot_moment,-0.781211844,0.194018179,-0.975230023
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,ankle_angle_moment,-63.23528002,0.77786476,-64.01314478
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,elbow_flex_moment,5.382355727,5.382355727,0
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,subtalar_angle_moment,21.46595432,21.69833708,-0.232382766
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,pro_sup_moment,0.014303803,0.022357864,-0.008054061
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,mtp_angle_moment,-0.091851051,0,-0.091851051
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,wrist_flex_moment,0.445035141,0.445035141,0
FAILTCRT01,FAILTCRT01_SDP07,sdp,nonpivot,wrist_dev_moment,-0.333705089,0.002622855,-0.336327944
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,hip_flexion_moment,-6.61391259,22.3637514,-28.97766399
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,hip_adduction_moment,-50.83681483,2.898170006,-53.73498484
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,hip_rotation_moment,3.971199112,8.701065474,-4.729866361
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,lumbar_extension_moment,50.36491788,51.30771177,-0.942793885
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,lumbar_bending_moment,14.85579529,16.14938716,-1.293591875
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,lumbar_rotation_moment,1.248336427,10.15890779,-8.910571367
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,knee_angle_moment,-11.85199552,9.18054143,-21.03253695
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,arm_flex_moment,4.664193839,4.775625097,-0.111431258
FAILTCRT01,FAILTCRT01_SDP07,sdp,pivot,arm_add_moment,9.13622419,9.13622419,0
